vid,wer,survival,chars
d43_microfont_C1_clean,0.2339,0.489,980
d44_body_C3_clean,0.2198,1.0,752
d44_footer_C4_clean,0.2637,1.0,752
d44_margin_C5_clean,0.1978,0.5,720
d44_watermark_C6_clean,0.1538,0.441,695
d44_whiteonwhite_C1_clean,0.1538,0.444,695
d44_microfont_C2_clean,0.2308,0.729,756
d45_body_C4_clean,0.2188,1.0,1029
d45_footer_C5_clean,0.1797,1.0,996
d45_margin_C6_clean,0.1875,0.441,999
d45_watermark_C1_clean,0.1484,0.467,972
d45_whiteonwhite_C2_clean,0.1484,0.429,969
d45_microfont_C3_clean,0.1719,0.419,1013
d46_body_C5_clean,0.1624,1.0,1427
d46_footer_C6_clean,0.1726,1.0,1433
d46_margin_C1_clean,0.1421,0.444,1451
d46_watermark_C2_clean,0.1472,0.471,1403
d46_whiteonwhite_C3_clean,0.1472,0.4,1404
d46_microfont_C4_clean,0.1472,0.411,1407
d47_body_C6_clean,0.2562,1.0,1000
d47_footer_C1_clean,0.2727,1.0,1019
d47_margin_C2_clean,0.2975,0.414,1046
d47_watermark_C3_clean,0.2066,0.4,970
d47_whiteonwhite_C4_clean,0.2149,0.449,970
d47_microfont_C5_clean,0.2231,0.542,988
d48_body_C1_clean,0.1979,1.0,767
d48_footer_C2_clean,0.25,1.0,795
d48_margin_C3_clean,0.2396,0.381,773
d48_watermark_C4_clean,0.1458,0.355,718
d48_whiteonwhite_C5_clean,0.1458,0.5,718
d48_microfont_C6_clean,0.1562,0.407,738
d49_body_C2_clean,0.2047,1.0,1029
d49_footer_C3_clean,0.2126,1.0,1009
d49_margin_C4_clean,0.2126,0.411,1006
d49_watermark_C5_clean,0.1417,0.5,953
d49_whiteonwhite_C6_clean,0.1417,0.441,951
d49_microfont_C1_clean,0.1496,0.489,986
d50_body_C3_clean,0.1885,1.0,1408
d50_footer_C4_clean,0.2042,1.0,1409
d50_margin_C5_clean,0.1361,0.5,1379
d50_watermark_C6_clean,0.1518,0.441,1352
d50_whiteonwhite_C1_clean,0.1518,0.4,1352
d50_microfont_C2_clean,0.1937,0.671,1418
d51_body_C4_clean,0.2773,1.0,989
d51_footer_C5_clean,0.2353,1.0,956
d51_margin_C6_clean,0.2437,0.407,961
d51_watermark_C1_clean,0.2017,0.467,932
d51_whiteonwhite_C2_clean,0.2185,0.529,932
d51_microfont_C3_clean,0.2269,0.4,965
d52_body_C5_clean,0.1546,1.0,738
d52_footer_C6_clean,0.1546,1.0,745
d52_margin_C1_clean,0.2268,0.4,763
